msn,line_number,aircraft_type,tail_number,delivery_date
42567,6188,737-8 MAX,N8710M,2017-08-29
42558,5852,737-8 MAX,N8705Q,2017-09-07
42566,6074,737-8 MAX,N8708Q,2017-09-08
36979,6272,737-8 MAX,N8711Q,2017-09-14
42559,5902,737-8 MAX,N8706W,2017-09-15
36929,5992,737-8 MAX,N8707P,2017-09-25
36930,6290,737-8 MAX,N8712L,2017-09-26
44459,6515,737-8 MAX,N324RA,2017-09-28
36984,6472,737-8 MAX,N8713M,2017-09-30
42563,6154,737-8 MAX,N8709Q,2017-10-01
36934,6481,737-8 MAX,N8714Q,2017-10-02
44463,6575,737-8 MAX,N304RB,2017-10-30
42544,6621,737-8 MAX,N8716B,2017-10-31
42570,6594,737-8 MAX,N8715Q,2017-11-07
44465,6639,737-8 MAX,N306RC,2017-12-04
44446,6652,737-8 MAX,N308RD,2017-12-22
36988,5788,737-8 MAX,N8704Q,2017-12-27
44447,6789,737-8 MAX,N303RE,2018-02-20
44451,6810,737-8 MAX,N310RF,2018-03-07
44448,6848,737-8 MAX,N303RG,2018-03-26
42571,6868,737-8 MAX,N8717M,2018-03-30
42546,6881,737-8 MAX,N8718Q,2018-04-30
44455,6884,737-8 MAX,N314RH,2018-05-11
44449,6897,737-8 MAX,N315RJ,2018-05-18
44450,6944,737-8 MAX,N316RK,2018-06-06
42554,5602,737-8 MAX,N8701Q,2018-06-20
44452,6970,737-8 MAX,N321RL,2018-06-28
44453,6991,737-8 MAX,N323RM,2018-07-12
42572,7020,737-8 MAX,N8719Q,2018-07-20
42547,7025,737-8 MAX,N8720L,2018-07-31
44454,7033,737-8 MAX,N324RN,2018-08-23
44456,7060,737-8 MAX,N326RP,2018-08-31
42548,7090,737-8 MAX,N8721J,2018-09-20
44457,7093,737-8 MAX,N328RR,2018-09-21
42573,7143,737-8 MAX,N8726H,2018-09-25
42576,7153,737-8 MAX,N8727M,2018-09-28
36989,5668,737-8 MAX,N8702L,2018-10-01
37019,7111,737-8 MAX,N8722L,2018-10-01
42549,7130,737-8 MAX,N8724J,2018-10-23
42574,7115,737-8 MAX,N8723Q,2018-10-29
44458,7108,737-8 MAX,N338RS,2018-10-30
42575,7135,737-8 MAX,N8725L,2018-10-30
44460,7190,737-8 MAX,N336RU,2018-12-11
44461,7175,737-8 MAX,N335RT,2018-12-18
42550,7321,737-8 MAX,N8731J,2018-12-20
37042,7308,737-8 MAX,N8730Q,2018-12-21
44462,7250,737-8 MAX,N350RV,2018-12-26
42551,7327,737-8 MAX,N8732S,2018-12-28
44464,7282,737-8 MAX,N341RW,2018-12-30
37043,7305,737-8 MAX,N8729H,2018-12-31
44466,7336,737-8 MAX,N342RX,2019-01-22
44467,7355,737-8 MAX,N343RY,2019-01-31
60710,7398,737-8 MAX,N8733M,2019-02-14
44469,7401,737-8 MAX,N313SB,2019-02-19
60713,7409,737-8 MAX,N8734Q,2019-02-20
42577,7300,737-8 MAX,N8728Q,2019-02-23
44468,7393,737-8 MAX,N302SA,2019-02-26
60711,7421,737-8 MAX,N8735L,2019-03-01
43430,6834,737-9 MAX,N67501,2018-04-23
43431,6852,737-9 MAX,N37502,2018-04-26
43434,6872,737-9 MAX,N27503,2018-05-01
43435,6899,737-9 MAX,N37504,2018-05-21
43432,6935,737-9 MAX,N37506,2018-05-30
43433,6917,737-9 MAX,N47505,2018-06-04
43437,7173,737-9 MAX,N37507,2018-09-30
43439,7201,737-9 MAX,N37508,2018-11-08
43443,7253,737-9 MAX,N27509,2018-11-29
64493,7338,737-9 MAX,N27511,2019-01-17
43445,7316,737-9 MAX,N37510,2019-01-22
43449,7361,737-9 MAX,N47512,2019-01-31
64494,7394,737-9 MAX,N37513,2019-02-27
43450,7428,737-9 MAX,N37514,2019-03-01
